Год постройки,1967
Год ввода дома в эксплуатацию,1967
"Серия, тип постройки здания",IЛГ-602-В-6
Тип дома,Многоквартирный дом
Способ формирования фонда капитального ремонта,На счете регионального оператора
Дом признан аварийным,Нет
"наибольшее, ед.",9
"наименьшее, ед.",1
"Количество подъездов, ед.",6
"Количество лифтов, ед.",6
"жилых, ед.",216
"нежилых, ед.",0
"общая площадь жилых помещений, кв.м",11 147.96
"общая площадь нежилых помещений, кв.м",76.44
"общая площадь помещений, входящих в состав общего имущества, кв.м",Не заполнено
"площадь земельного участка, входящего в состав общего имущества в многоквартирном доме, кв.м",9 796.00
"площадь парковки в границах земельного участка, кв.м",0.00
Кадастровый номер,7417:70:37
Класс энергетической эффективности,Не заполнено
детская площадка,Не имеется
спортивная площадка,Не имеется
другое,Не заполнено
Дополнительная информация,Не заполнено
